,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DSND,DSND_ATTRIBUTES,DSNW,DSNW_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMSD,EMSD_ATTRIBUTES,EMSN,EMSN_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
113,USC00421759,"COTTONWOOD WEIR, UT US",40.6189,-111.7836,1519.7,2012-01,0.0,7,0.0,",K",8.0,",K",5.0,",K",,,2.0,",K",0.0,",K",26.0,",K",2.0,",K",0.0,",K",0.0,",K",-10.0,",K,17,+",,,102.0,",,K,22,",13.7,",,K,21,",13.3,",K,21,",1748.4,7,544.4,",K",47.4,",,,K",153.0,",,,K",0.8,",K",5.5,",,,K",-3.9,",,,K"
114,USC00421759,"COTTONWOOD WEIR, UT US",40.6189,-111.7836,1519.7,2012-02,,,,,6.0,",K",3.0,",K",,,,,0.0,"5,K",21.0,"5,K",0.0,"5,K",0.0,"5,K",0.0,"5,K",-9.4,"5,K,20,",,,,,13.0,",,K,19,",12.8,"5,K,22,",,,,,30.3,",,,K",,,1.6,"6,K",6.1,"5,,,K",-3.0,"5,,,K"
115,USC00421759,"COTTONWOOD WEIR, UT US",40.6189,-111.7836,1519.7,2012-03,,,0.5,",K",10.0,"1,K",7.0,"1,K",,,,,0.0,",K",11.0,",K",0.0,",K",3.0,",K",0.0,",K",-7.2,",K,02,",,,,,12.2,"1,,K,18,",24.4,",K,31,",,,303.2,",K",52.4,"1,,,K",,,8.6,",K",14.5,",,,K",2.6,",,,K"
116,USC00421759,"COTTONWOOD WEIR, UT US",40.6189,-111.7836,1519.7,2012-04,,,17.3,"1,K",10.0,"4,K",7.0,"4,K",,,,,0.0,",K",5.0,",K",0.0,"1,K",13.0,"1,K",0.0,"1,K",-2.2,",K,06,+",,,,,23.6,"4,,K,27,",29.4,"1,K,24,",,,174.9,"1,K",93.4,"4,,,K",,,12.8,"1,K",19.4,"1,,,K",6.1,",,,K"
117,USC00421759,"COTTONWOOD WEIR, UT US",40.6189,-111.7836,1519.7,2012-05,,,27.5,"1,K",6.0,",K",5.0,",K",,,,,0.0,"1,K",0.0,"1,K",0.0,"1,K",18.0,"1,K",0.0,"1,K",0.6,"1,K,06,",,,,,10.7,",,K,18,",31.1,"1,K,22,",,,88.9,"1,K",36.1,",,,K",,,16.3,"1,K",22.7,"1,,,K",9.9,"1,,,K"
118,USC00421759,"COTTONWOOD WEIR, UT US",40.6189,-111.7836,1519.7,2012-06,,,141.6,"2,K",0.0,",K",0.0,",K",,,,,0.0,",K",0.0,",K",0.0,"2,K",26.0,"2,K",13.0,"2,K",4.4,",K,06,",,,,,0.0,",,K,30,+",34.4,"2,K,30,+",,,19.5,"2,K",0.0,",,,K",,,22.7,"2,K",29.7,"2,,,K",15.6,",,,K"
119,USC00421759,"COTTONWOOD WEIR, UT US",40.6189,-111.7836,1519.7,2012-07,,,240.7,"2,K",3.0,"2,K",1.0,"2,K",,,,,0.0,",K",0.0,",K",0.0,"2,K",29.0,"2,K",22.0,"2,K",14.4,",K,06,",,,,,9.1,"2,,K,05,",36.7,"2,K,12,+",0.0,7,0.0,"2,K",10.9,"2,,,K",,,26.7,"2,K",33.1,"2,,,K",20.4,",,,K"
120,USC00421759,"COTTONWOOD WEIR, UT US",40.6189,-111.7836,1519.7,2012-08,,,249.0,",K",2.0,",K",0.0,",K",,,,,0.0,",K",0.0,",K",0.0,",K",31.0,",K",23.0,",K",12.2,",K,25,+",,,,,1.0,",,K,11,",37.2,",K,08,",0.0,7,0.0,",K",1.3,",,,K",,,26.4,",K",32.9,",,,K",19.8,",,,K"
121,USC00421759,"COTTONWOOD WEIR, UT US",40.6189,-111.7836,1519.7,2012-09,,,96.4,",7",6.0,",7",4.0,",7",,,,,0.0,",7",0.0,",7",0.0,",7",28.0,",7",0.0,",7",8.9,",7,26,+",,,,,8.4,",,7,25,",31.7,",7,01,",9.5,7,9.5,",7",24.0,",,,7",,,21.2,",7",26.8,",,,7",15.6,",,,7"
122,USC00421759,"COTTONWOOD WEIR, UT US",40.6189,-111.7836,1519.7,2012-10,,,4.2,",7",5.0,",7",3.0,",7",,,,,0.0,",7",2.0,",7",0.0,",7",11.0,",7",0.0,",7",-2.2,",7,25,",,,,,15.7,",,7,13,",26.1,",7,03,",196.3,7,186.8,",7",36.3,",,,7",,,12.4,",7",18.5,",,,7",6.4,",,,7"
